hr,weekday,workingday,mnth,season,temp,atemp,hum,windspeed,weathersit,holiday,cnt
8,0,0,1,1,0.1,0.0909,0.49,0.2836,1,0,10
9,0,0,1,1,0.12,0.0758,0.46,0.5224,1,0,19
10,0,0,1,1,0.14,0.1061,0.43,0.3881,1,0,49
11,0,0,1,1,0.16,0.1212,0.4,0.5224,1,0,49
12,0,0,1,1,0.18,0.1364,0.37,0.4478,1,0,83
13,0,0,1,1,0.2,0.1667,0.34,0.4478,1,0,75
14,0,0,1,1,0.22,0.1818,0.32,0.4627,1,0,72
15,0,0,1,1,0.22,0.197,0.35,0.3582,1,0,82
16,0,0,1,1,0.2,0.1667,0.34,0.4478,1,0,92
17,0,0,1,1,0.18,0.1515,0.37,0.3881,1,0,62
18,0,0,1,1,0.16,0.1364,0.4,0.3284,1,0,48
19,0,0,1,1,0.16,0.1364,0.43,0.3284,1,0,41
20,0,0,1,1,0.14,0.1212,0.46,0.2537,1,0,38
21,0,0,1,1,0.14,0.1061,0.46,0.4179,1,0,20
22,0,0,1,1,0.14,0.1212,0.46,0.2985,1,0,15
23,0,0,1,1,0.12,0.1364,0.5,0.194,1,0,6
0,1,1,1,1,0.12,0.1212,0.5,0.2836,1,0,5
1,1,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1
2,1,1,1,1,0.12,0.1212,0.5,0.2239,1,0,3
3,1,1,1,1,0.12,0.1212,0.5,0.2239,1,0,1
4,1,1,1,1,0.1,0.1212,0.54,0.1343,1,0,3
5,1,1,1,1,0.1,0.1061,0.54,0.2537,1,0,3
6,1,1,1,1,0.12,0.1212,0.5,0.2836,1,0,31
7,1,1,1,1,0.12,0.1212,0.5,0.2239,1,0,77
8,1,1,1,1,0.12,0.1212,0.5,0.2836,2,0,188
9,1,1,1,1,0.14,0.1212,0.5,0.2537,2,0,94
10,1,1,1,1,0.14,0.1212,0.5,0.2985,2,0,31
11,1,1,1,1,0.16,0.1364,0.47,0.2836,2,0,30
12,1,1,1,1,0.2,0.1818,0.4,0.2836,2,0,52
13,1,1,1,1,0.2,0.1818,0.4,0.2836,2,0,54
14,1,1,1,1,0.2,0.197,0.4,0.2239,2,0,47
15,1,1,1,1,0.2,0.197,0.4,0.2239,2,0,45
16,1,1,1,1,0.2,0.2121,0.4,0.1343,1,0,74
17,1,1,1,1,0.2,0.2273,0.4,0.1045,1,0,178
18,1,1,1,1,0.2,0.197,0.4,0.2239,1,0,155
19,1,1,1,1,0.16,0.1667,0.47,0.1642,1,0,95
20,1,1,1,1,0.16,0.1667,0.5,0.1642,1,0,74
21,1,1,1,1,0.14,0.1364,0.59,0.194,1,0,38
22,1,1,1,1,0.14,0.1515,0.59,0.1642,1,0,24
23,1,1,1,1,0.14,0.1515,0.59,0.1642,1,0,18
0,2,1,1,1,0.14,0.1667,0.59,0.1045,1,0,12
1,2,1,1,1,0.14,0.1515,0.59,0.1642,1,0,3
2,2,1,1,1,0.16,0.1515,0.55,0.194,2,0,3
5,2,1,1,1,0.16,0.1818,0.55,0.1343,2,0,6
6,2,1,1,1,0.16,0.1818,0.55,0.1343,2,0,27
7,2,1,1,1,0.16,0.2273,0.55,0.0,2,0,99
8,2,1,1,1,0.18,0.2121,0.51,0.0896,2,0,217
9,2,1,1,1,0.18,0.197,0.51,0.1642,2,0,130
10,2,1,1,1,0.2,0.2121,0.51,0.1642,2,0,54
11,2,1,1,1,0.2,0.2121,0.47,0.1343,2,0,35
12,2,1,1,1,0.2,0.2273,0.51,0.1045,2,0,57
13,2,1,1,1,0.2,0.2273,0.59,0.0896,2,0,52
14,2,1,1,1,0.2,0.2273,0.59,0.0896,2,0,63
15,2,1,1,1,0.16,0.197,0.8,0.0896,2,0,47
16,2,1,1,1,0.16,0.1515,0.86,0.2239,2,0,76
17,2,1,1,1,0.16,0.1515,0.86,0.2239,2,0,136
18,2,1,1,1,0.16,0.1818,0.93,0.1045,3,0,95
19,2,1,1,1,0.16,0.2273,0.93,0.0,3,0,51
20,2,1,1,1,0.16,0.1515,0.93,0.194,3,0,32
21,2,1,1,1,0.16,0.197,0.86,0.0896,3,0,20
22,2,1,1,1,0.16,0.1818,0.93,0.1045,3,0,29
23,2,1,1,1,0.16,0.197,0.93,0.0896,3,0,19
0,3,1,1,1,0.16,0.197,0.86,0.0896,2,0,7
1,3,1,1,1,0.16,0.1818,0.86,0.1045,2,0,6
2,3,1,1,1,0.14,0.1515,0.86,0.1343,1,0,1
5,3,1,1,1,0.14,0.1515,0.86,0.1642,1,0,5
6,3,1,1,1,0.12,0.1515,0.93,0.1343,1,0,16
7,3,1,1,1,0.14,0.1515,0.69,0.1343,1,0,54
8,3,1,1,1,0.16,0.1667,0.59,0.1642,1,0,128
9,3,1,1,1,0.16,0.1364,0.59,0.3284,1,0,81
10,3,1,1,1,0.18,0.1818,0.55,0.2239,1,0,39
11,3,1,1,1,0.2,0.1818,0.51,0.3881,1,0,35
12,3,1,1,1,0.2,0.1515,0.47,0.5821,1,0,55
13,3,1,1,1,0.22,0.197,0.44,0.3582,1,0,49
14,3,1,1,1,0.2,0.1818,0.47,0.3284,1,0,44
15,3,1,1,1,0.2,0.1667,0.47,0.4179,1,0,49
16,3,1,1,1,0.22,0.197,0.44,0.3284,1,0,68
17,3,1,1,1,0.2,0.1818,0.47,0.3582,1,0,139
18,3,1,1,1,0.2,0.1515,0.47,0.5224,1,0,137
19,3,1,1,1,0.18,0.1515,0.47,0.4179,1,0,83
20,3,1,1,1,0.16,0.1364,0.5,0.3284,1,0,56
21,3,1,1,1,0.16,0.1364,0.55,0.3284,1,0,57
22,3,1,1,1,0.16,0.1212,0.55,0.4478,1,0,33
23,3,1,1,1,0.14,0.1061,0.59,0.4179,1,0,20
0,4,1,1,1,0.14,0.1212,0.59,0.2836,1,0,7
1,4,1,1,1,0.14,0.1212,0.5,0.2836,1,0,2
2,4,1,1,1,0.14,0.1212,0.5,0.3582,1,0,2
3,4,1,1,1,0.14,0.1212,0.5,0.3284,1,0,3
4,4,1,1,1,0.14,0.1212,0.5,0.2537,1,0,4
5,4,1,1,1,0.14,0.1212,0.5,0.2985,1,0,3
6,4,1,1,1,0.12,0.1515,0.54,0.1343,1,0,28
7,4,1,1,1,0.12,0.1515,0.54,0.1343,1,0,72
8,4,1,1,1,0.14,0.1364,0.5,0.194,1,0,202
9,4,1,1,1,0.14,0.1212,0.5,0.3284,1,0,139
10,4,1,1,1,0.16,0.1364,0.5,0.3582,2,0,38
11,4,1,1,1,0.2,0.1667,0.44,0.4478,2,0,37
12,4,1,1,1,0.2,0.1667,0.44,0.4179,1,0,52
13,4,1,1,1,0.22,0.197,0.41,0.4478,1,0,83
14,4,1,1,1,0.22,0.197,0.41,0.3881,1,0,42
15,4,1,1,1,0.24,0.2121,0.38,0.2985,1,0,60
16,4,1,1,1,0.24,0.2121,0.38,0.3582,1,0,78
17,4,1,1,1,0.2,0.1818,0.4,0.2836,1,0,162
18,4,1,1,1,0.2,0.1818,0.4,0.3284,1,0,144
19,4,1,1,1,0.16,0.1515,0.47,0.2537,1,0,99
20,4,1,1,1,0.16,0.1515,0.47,0.2239,1,0,64
21,4,1,1,1,0.14,0.1212,0.46,0.2985,1,0,40
22,4,1,1,1,0.14,0.1212,0.46,0.3284,1,0,30
23,4,1,1,1,0.12,0.1364,0.5,0.194,1,0,15
0,5,1,1,1,0.12,0.1364,0.5,0.194,1,0,14
1,5,1,1,1,0.1,0.1212,0.54,0.1642,1,0,5
2,5,1,1,1,0.1,0.1212,0.54,0.1343,1,0,1
3,5,1,1,1,0.1,0.1364,0.54,0.1045,1,0,1
5,5,1,1,1,0.1,0.1364,0.54,0.0896,1,0,8
6,5,1,1,1,0.1,0.1818,0.54,0.0,1,0,17
7,5,1,1,1,0.1,0.1212,0.74,0.1642,1,0,70
8,5,1,1,1,0.12,0.1667,0.68,0.0,1,0,158
9,5,1,1,1,0.14,0.1515,0.69,0.1343,1,0,117
10,5,1,1,1,0.18,0.1818,0.55,0.194,1,0,44
11,5,1,1,1,0.18,0.1667,0.51,0.2836,1,0,53
12,5,1,1,1,0.2,0.197,0.44,0.2537,1,0,61
13,5,1,1,1,0.22,0.197,0.37,0.3881,1,0,77
14,5,1,1,1,0.22,0.2121,0.41,0.2836,1,0,64
15,5,1,1,1,0.24,0.2424,0.38,0.1642,1,0,68
16,5,1,1,1,0.22,0.2424,0.41,0.1045,1,0,90
17,5,1,1,1,0.22,0.2273,0.41,0.1642,1,0,159
18,5,1,1,1,0.2,0.2576,0.47,0.0,1,0,139
19,5,1,1,1,0.16,0.197,0.59,0.0896,1,0,92
20,5,1,1,1,0.18,0.2424,0.59,0.0,1,0,68
21,5,1,1,1,0.16,0.2273,0.69,0.0,1,0,52
22,5,1,1,1,0.16,0.2273,0.69,0.0,2,0,36
23,5,1,1,1,0.18,0.2424,0.55,0.0,2,0,27
0,6,0,1,1,0.18,0.2424,0.55,0.0,1,0,28
1,6,0,1,1,0.16,0.197,0.59,0.0896,2,0,20
2,6,0,1,1,0.16,0.197,0.59,0.0896,2,0,12
3,6,0,1,1,0.16,0.2273,0.59,0.0,2,0,8
4,6,0,1,1,0.16,0.2273,0.59,0.0,2,0,5
5,6,0,1,1,0.16,0.2273,0.59,0.0,1,0,1
6,6,0,1,1,0.14,0.1667,0.63,0.1045,1,0,3
7,6,0,1,1,0.14,0.2121,0.63,0.0,1,0,10
8,6,0,1,1,0.14,0.1515,0.63,0.1343,1,0,23
9,6,0,1,1,0.16,0.1818,0.64,0.1343,1,0,33
10,6,0,1,1,0.18,0.197,0.59,0.1642,1,0,59
11,6,0,1,1,0.2,0.197,0.55,0.2239,1,0,72
12,6,0,1,1,0.24,0.2273,0.48,0.2239,1,0,89
13,6,0,1,1,0.28,0.2576,0.38,0.2985,1,0,101
14,6,0,1,1,0.3,0.2879,0.39,0.2836,1,0,118
15,6,0,1,1,0.32,0.3182,0.36,0.194,2,0,129
16,6,0,1,1,0.34,0.3333,0.34,0.194,2,0,128
17,6,0,1,1,0.32,0.303,0.36,0.2836,2,0,83
18,6,0,1,1,0.3,0.2879,0.45,0.2537,2,0,84
19,6,0,1,1,0.32,0.303,0.39,0.2537,2,0,74
20,6,0,1,1,0.32,0.303,0.39,0.2537,2,0,41
21,6,0,1,1,0.32,0.303,0.39,0.2239,2,0,57
22,6,0,1,1,0.3,0.3182,0.42,0.1045,2,0,26
23,6,0,1,1,0.3,0.2879,0.45,0.2836,1,0,44
0,0,0,1,1,0.26,0.303,0.56,0.0,1,0,39
1,0,0,1,1,0.26,0.2727,0.56,0.1343,1,0,23
2,0,0,1,1,0.26,0.2879,0.56,0.0896,1,0,16
3,0,0,1,1,0.22,0.2727,0.69,0.0,1,0,15
4,0,0,1,1,0.26,0.2576,0.56,0.1642,1,0,1
5,0,0,1,1,0.26,0.2576,0.56,0.1642,2,0,2
6,0,0,1,1,0.26,0.2576,0.56,0.1642,2,0,1
7,0,0,1,1,0.24,0.2121,0.56,0.2985,2,0,3
8,0,0,1,1,0.22,0.2121,0.55,0.2836,1,0,18
9,0,0,1,1,0.22,0.2121,0.51,0.2537,1,0,32
10,0,0,1,1,0.22,0.2121,0.51,0.2836,1,0,79
11,0,0,1,1,0.24,0.2273,0.44,0.2537,1,0,93
12,0,0,1,1,0.24,0.2121,0.41,0.2836,1,0,104
13,0,0,1,1,0.26,0.2273,0.35,0.2985,1,0,118
14,0,0,1,1,0.28,0.2727,0.36,0.2537,1,0,91
15,0,0,1,1,0.26,0.2424,0.38,0.2537,1,0,113
16,0,0,1,1,0.24,0.2273,0.38,0.2239,1,0,99
17,0,0,1,1,0.22,0.2121,0.37,0.2537,1,0,105
18,0,0,1,1,0.2,0.2121,0.4,0.1642,1,0,67
19,0,0,1,1,0.18,0.197,0.47,0.1343,1,0,61
20,0,0,1,1,0.18,0.197,0.47,0.1642,1,0,57
21,0,0,1,1,0.18,0.197,0.51,0.1642,1,0,28
22,0,0,1,1,0.2,0.2121,0.49,0.1343,2,0,21
23,0,0,1,1,0.2,0.2273,0.4,0.1045,2,0,18
0,1,0,1,1,0.2,0.197,0.47,0.2239,2,1,17
1,1,0,1,1,0.2,0.197,0.44,0.194,2,1,16
2,1,0,1,1,0.18,0.1667,0.43,0.2537,2,1,8
3,1,0,1,1,0.18,0.1818,0.43,0.194,2,1,2
4,1,0,1,1,0.18,0.197,0.43,0.1343,2,1,3
5,1,0,1,1,0.18,0.197,0.43,0.1642,2,1,1
6,1,0,1,1,0.18,0.1818,0.43,0.194,2,1,5
7,1,0,1,1,0.16,0.1818,0.5,0.1343,2,1,13
8,1,0,1,1,0.16,0.1515,0.47,0.2239,2,1,33
9,1,0,1,1,0.16,0.1515,0.47,0.2239,2,1,47
10,1,0,1,1,0.16,0.1515,0.5,0.2537,2,1,57
11,1,0,1,1,0.16,0.1515,0.55,0.194,2,1,64
12,1,0,1,1,0.18,0.197,0.47,0.1343,2,1,80
13,1,0,1,1,0.18,0.197,0.47,0.1343,2,1,93
14,1,0,1,1,0.18,0.2121,0.43,0.1045,2,1,86
15,1,0,1,1,0.2,0.2121,0.47,0.1642,2,1,93
16,1,0,1,1,0.2,0.2121,0.47,0.1642,2,1,82
17,1,0,1,1,0.2,0.197,0.51,0.194,1,1,71
18,1,0,1,1,0.18,0.1667,0.55,0.2537,2,1,92
19,1,0,1,1,0.18,0.1818,0.59,0.194,3,1,60
20,1,0,1,1,0.16,0.1515,0.8,0.194,3,1,33
21,1,0,1,1,0.16,0.1515,0.8,0.194,3,1,27
22,1,0,1,1,0.14,0.1212,0.93,0.2537,3,1,13
23,1,0,1,1,0.16,0.1364,0.86,0.2836,3,1,4
12,2,1,1,1,0.2,0.1818,0.86,0.3284,2,0,3
13,2,1,1,1,0.2,0.197,0.86,0.2239,2,0,22
14,2,1,1,1,0.22,0.2273,0.8,0.1642,2,0,28
15,2,1,1,1,0.22,0.2273,0.87,0.1642,2,0,35
16,2,1,1,1,0.22,0.2273,0.87,0.194,2,0,61
17,2,1,1,1,0.22,0.2273,0.82,0.194,2,0,125
18,2,1,1,1,0.22,0.2273,0.8,0.1642,2,0,133
19,2,1,1,1,0.22,0.2273,0.8,0.1343,2,0,99
20,2,1,1,1,0.22,0.2727,0.87,0.0,2,0,83
21,2,1,1,1,0.22,0.2424,0.93,0.1045,2,0,41
22,2,1,1,1,0.22,0.2576,0.93,0.0896,2,0,33
23,2,1,1,1,0.22,0.2727,0.93,0.0,2,0,20
0,3,1,1,1,0.22,0.2727,0.93,0.0,2,0,3
1,3,1,1,1,0.22,0.2273,0.93,0.1343,3,0,7
2,3,1,1,1,0.22,0.2273,0.93,0.1343,3,0,3
4,3,1,1,1,0.22,0.2273,0.93,0.1343,3,0,2
5,3,1,1,1,0.22,0.2576,0.93,0.0896,2,0,7
