temp,atemp,hum,windspeed,season,mnth,hr,weekday,holiday,workingday,weathersit,casual,registered,cnt
0.42,0.4242,1.0,0.2836,1,1,2,0,0,0,2,1,8,9
0.46,0.4545,0.94,0.194,1,1,3,0,0,0,2,2,4,6
0.46,0.4545,0.94,0.194,1,1,4,0,0,0,2,2,1,3
0.42,0.4242,0.77,0.2985,1,1,6,0,0,0,3,0,2,2
0.4,0.4091,0.76,0.194,1,1,7,0,0,0,2,0,1,1
0.4,0.4091,0.71,0.2239,1,1,8,0,0,0,3,0,8,8
0.38,0.3939,0.76,0.2239,1,1,9,0,0,0,2,1,19,20
0.36,0.3485,0.81,0.2239,1,1,10,0,0,0,2,7,46,53
0.36,0.3333,0.71,0.2537,1,1,11,0,0,0,2,16,54,70
0.36,0.3333,0.66,0.2985,1,1,12,0,0,0,2,20,73,93
0.36,0.3485,0.66,0.1343,1,1,13,0,0,0,2,11,64,75
0.36,0.3485,0.76,0.194,1,1,14,0,0,0,3,4,55,59
0.34,0.3333,0.81,0.1642,1,1,15,0,0,0,3,19,55,74
0.34,0.3333,0.71,0.1642,1,1,16,0,0,0,3,9,67,76
0.34,0.3333,0.57,0.194,1,1,17,0,0,0,1,7,58,65
0.36,0.3333,0.46,0.3284,1,1,18,0,0,0,2,10,43,53
0.32,0.2879,0.42,0.4478,1,1,19,0,0,0,1,1,29,30
0.3,0.2727,0.39,0.3582,1,1,20,0,0,0,1,5,17,22
0.26,0.2273,0.44,0.3284,1,1,21,0,0,0,1,11,20,31
0.24,0.2121,0.44,0.2985,1,1,22,0,0,0,1,0,9,9
0.22,0.2273,0.47,0.1642,1,1,23,0,0,0,1,0,8,8
0.22,0.197,0.44,0.3582,1,1,0,1,0,1,1,0,5,5
0.2,0.1667,0.44,0.4179,1,1,1,1,0,1,1,0,2,2
0.16,0.1364,0.47,0.3881,1,1,4,1,0,1,1,0,1,1
0.16,0.1364,0.47,0.2836,1,1,5,1,0,1,1,0,3,3
0.14,0.1061,0.5,0.3881,1,1,6,1,0,1,1,0,30,30
0.14,0.1364,0.5,0.194,1,1,7,1,0,1,1,1,63,64
0.14,0.1212,0.5,0.2836,1,1,8,1,0,1,1,1,153,154
0.16,0.1364,0.43,0.3881,1,1,9,1,0,1,1,7,81,88
0.18,0.1667,0.43,0.2537,1,1,10,1,0,1,1,11,33,44
0.2,0.1818,0.4,0.3284,1,1,11,1,0,1,1,10,41,51
0.22,0.2121,0.35,0.2985,1,1,12,1,0,1,1,13,48,61
0.24,0.2121,0.35,0.2836,1,1,13,1,0,1,1,8,53,61
0.26,0.2424,0.3,0.2836,1,1,14,1,0,1,1,11,66,77
0.26,0.2424,0.3,0.2537,1,1,15,1,0,1,1,14,58,72
0.26,0.2424,0.3,0.2537,1,1,16,1,0,1,1,9,67,76
0.24,0.2273,0.3,0.2239,1,1,17,1,0,1,1,11,146,157
0.24,0.2576,0.32,0.1045,1,1,18,1,0,1,1,9,148,157
0.2,0.2576,0.47,0.0,1,1,19,1,0,1,1,8,102,110
0.2,0.2273,0.47,0.1045,1,1,20,1,0,1,1,3,49,52
0.18,0.197,0.64,0.1343,1,1,21,1,0,1,1,3,49,52
0.14,0.1515,0.69,0.1343,1,1,22,1,0,1,1,0,20,20
0.18,0.2121,0.55,0.1045,1,1,23,1,0,1,1,1,11,12
0.16,0.1818,0.55,0.1045,1,1,0,2,0,1,1,0,5,5
0.16,0.1818,0.59,0.1045,1,1,1,2,0,1,1,0,2,2
0.14,0.1515,0.63,0.1343,1,1,2,2,0,1,1,0,1,1
0.14,0.1818,0.63,0.0896,1,1,4,2,0,1,1,0,2,2
0.12,0.1515,0.68,0.1045,1,1,5,2,0,1,1,0,4,4
0.12,0.1515,0.74,0.1045,1,1,6,2,0,1,1,0,36,36
0.12,0.1515,0.74,0.1343,1,1,7,2,0,1,1,2,92,94
0.14,0.1515,0.69,0.1642,1,1,8,2,0,1,1,2,177,179
0.16,0.1515,0.64,0.2239,1,1,9,2,0,1,1,2,98,100
0.16,0.1364,0.69,0.3284,1,1,10,2,0,1,2,5,37,42
0.22,0.2121,0.51,0.2985,1,1,11,2,0,1,1,7,50,57
0.22,0.2273,0.51,0.1642,1,1,12,2,0,1,1,12,66,78
0.24,0.2273,0.56,0.194,1,1,13,2,0,1,1,18,79,97
0.26,0.2576,0.52,0.2239,1,1,14,2,0,1,1,9,54,63
0.28,0.2727,0.52,0.2537,1,1,15,2,0,1,1,17,48,65
0.3,0.2879,0.49,0.2537,1,1,16,2,0,1,1,15,68,83
0.28,0.2727,0.48,0.2239,1,1,17,2,0,1,1,10,202,212
0.26,0.2576,0.48,0.194,1,1,18,2,0,1,1,3,179,182
0.24,0.2576,0.48,0.1045,1,1,19,2,0,1,1,2,110,112
0.24,0.2576,0.48,0.1045,1,1,20,2,0,1,1,1,53,54
0.22,0.2727,0.64,0.0,1,1,21,2,0,1,1,0,48,48
0.22,0.2576,0.64,0.0896,1,1,22,2,0,1,1,1,34,35
0.2,0.2273,0.69,0.0896,1,1,23,2,0,1,1,2,9,11
0.2,0.2576,0.64,0.0,1,1,0,3,0,1,1,0,6,6
0.16,0.197,0.74,0.0896,1,1,1,3,0,1,1,0,6,6
0.16,0.197,0.74,0.0896,1,1,2,3,0,1,1,0,2,2
0.24,0.2273,0.48,0.2239,1,1,4,3,0,1,1,0,2,2
0.22,0.2273,0.47,0.1642,1,1,5,3,0,1,1,0,3,3
0.2,0.197,0.47,0.2239,1,1,6,3,0,1,1,0,33,33
0.18,0.1818,0.43,0.194,1,1,7,3,0,1,1,1,87,88
0.2,0.1818,0.4,0.2985,1,1,8,3,0,1,1,3,192,195
0.22,0.197,0.37,0.3284,1,1,9,3,0,1,1,6,109,115
0.22,0.197,0.37,0.3284,1,1,10,3,0,1,1,4,53,57
0.26,0.2273,0.33,0.3284,1,1,11,3,0,1,1,12,34,46
0.26,0.2273,0.33,0.3284,1,1,12,3,0,1,1,5,74,79
0.28,0.2576,0.3,0.2985,1,1,13,3,0,1,1,6,65,71
0.3,0.2879,0.28,0.194,1,1,14,3,0,1,1,10,52,62
0.3,0.2879,0.28,0.194,1,1,15,3,0,1,1,7,55,62
0.3,0.3182,0.28,0.0896,1,1,16,3,0,1,1,4,85,89
0.24,0.2273,0.38,0.194,1,1,17,3,0,1,1,4,186,190
0.24,0.2424,0.38,0.1343,1,1,18,3,0,1,1,3,166,169
0.24,0.2576,0.38,0.1045,1,1,19,3,0,1,1,5,127,132
0.22,0.2273,0.47,0.1642,1,1,20,3,0,1,1,7,82,89
0.2,0.197,0.51,0.194,1,1,21,3,0,1,1,3,40,43
0.18,0.197,0.55,0.1343,1,1,22,3,0,1,1,1,41,42
0.2,0.2576,0.47,0.0,1,1,23,3,0,1,1,1,18,19
0.18,0.2424,0.55,0.0,1,1,0,4,0,1,1,0,11,11
0.16,0.2273,0.64,0.0,1,1,1,4,0,1,1,0,4,4
0.16,0.2273,0.64,0.0,1,1,2,4,0,1,1,0,2,2
0.16,0.197,0.64,0.0896,1,1,4,4,0,1,2,0,1,1
0.14,0.1818,0.69,0.0896,1,1,5,4,0,1,2,0,4,4
0.14,0.1667,0.63,0.1045,1,1,6,4,0,1,2,0,36,36
0.16,0.2273,0.59,0.0,1,1,7,4,0,1,2,0,95,95
0.16,0.2273,0.59,0.0,1,1,8,4,0,1,1,3,216,219
0.18,0.2424,0.51,0.0,1,1,9,4,0,1,2,6,116,122
0.2,0.2576,0.47,0.0,1,1,10,4,0,1,1,3,42,45
0.22,0.2576,0.44,0.0896,1,1,11,4,0,1,1,2,57,59
0.26,0.2879,0.35,0.0,1,1,12,4,0,1,1,6,78,84
0.26,0.2727,0.35,0.1045,1,1,13,4,0,1,1,12,55,67
0.28,0.2727,0.36,0.1642,1,1,14,4,0,1,1,11,59,70
0.28,0.2727,0.36,0.0,1,1,15,4,0,1,1,8,54,62
0.26,0.2576,0.38,0.1642,1,1,16,4,0,1,1,12,74,86
0.22,0.2273,0.51,0.1642,1,1,17,4,0,1,1,9,163,172
0.22,0.2273,0.51,0.1343,1,1,18,4,0,1,1,5,158,163
0.22,0.2576,0.55,0.0896,1,1,19,4,0,1,1,3,109,112
0.2,0.2121,0.51,0.1642,1,1,20,4,0,1,1,3,66,69
0.22,0.2121,0.55,0.2239,1,1,21,4,0,1,2,0,48,48
0.22,0.2121,0.51,0.2836,1,1,22,4,0,1,2,1,51,52
0.2,0.197,0.59,0.194,1,1,23,4,0,1,2,4,19,23
0.2,0.197,0.64,0.194,1,1,0,5,0,1,2,4,13,17
0.2,0.197,0.69,0.2239,1,1,1,5,0,1,2,2,5,7
0.2,0.197,0.69,0.2239,1,1,2,5,0,1,2,0,1,1
0.2,0.2121,0.69,0.1343,1,1,4,5,0,1,2,0,1,1
0.22,0.2727,0.55,0.0,1,1,5,5,0,1,3,0,5,5
0.2,0.2576,0.69,0.0,1,1,6,5,0,1,2,8,26,34
0.2,0.2121,0.69,0.1343,1,1,7,5,0,1,1,8,76,84
0.2,0.197,0.51,0.2537,1,1,8,5,0,1,1,20,190,210
0.2,0.1818,0.47,0.2985,1,1,9,5,0,1,1,9,125,134
0.22,0.197,0.37,0.3284,1,1,10,5,0,1,1,16,47,63
0.2,0.197,0.4,0.2239,1,1,11,5,0,1,2,19,48,67
0.2,0.197,0.37,0.2537,1,1,12,5,0,1,2,9,50,59
0.2,0.1818,0.37,0.2836,1,1,13,5,0,1,2,9,64,73
0.2,0.197,0.4,0.2537,1,1,14,5,0,1,2,7,43,50
0.2,0.2121,0.37,0.1642,1,1,15,5,0,1,2,9,63,72
0.2,0.2121,0.37,0.1642,1,1,16,5,0,1,2,5,82,87
0.2,0.2576,0.37,0.0,1,1,17,5,0,1,2,9,178,187
0.2,0.2273,0.4,0.0896,1,1,18,5,0,1,1,7,116,123
0.16,0.197,0.55,0.0896,1,1,19,5,0,1,1,3,92,95
0.18,0.2121,0.47,0.1045,1,1,20,5,0,1,1,1,50,51
0.18,0.197,0.47,0.1343,1,1,21,5,0,1,1,0,39,39
0.18,0.197,0.43,0.1642,1,1,22,5,0,1,2,2,34,36
0.18,0.197,0.51,0.1642,1,1,23,5,0,1,2,1,14,15
0.18,0.197,0.51,0.1642,1,1,0,6,0,0,2,1,24,25
0.18,0.2121,0.55,0.0896,1,1,1,6,0,0,2,1,15,16
0.18,0.2424,0.55,0.0,1,1,2,6,0,0,2,3,13,16
0.18,0.197,0.55,0.1642,1,1,3,6,0,0,3,0,7,7
0.18,0.197,0.55,0.1642,1,1,4,6,0,0,3,0,1,1
0.16,0.1667,0.74,0.1642,1,1,5,6,0,0,2,0,5,5
0.16,0.1667,0.74,0.1642,1,1,6,6,0,0,2,0,2,2
0.16,0.1818,0.74,0.1045,1,1,7,6,0,0,2,1,8,9
0.16,0.1818,0.93,0.1045,1,1,8,6,0,0,3,0,15,15
0.16,0.1818,0.93,0.1045,1,1,9,6,0,0,3,0,20,20
0.18,0.197,0.8,0.1642,1,1,10,6,0,0,2,5,56,61
0.2,0.1818,0.69,0.3881,1,1,11,6,0,0,2,2,60,62
0.2,0.1818,0.59,0.3582,1,1,12,6,0,0,2,8,90,98
0.2,0.1818,0.44,0.3284,1,1,13,6,0,0,1,7,95,102
0.2,0.1667,0.32,0.4925,1,1,14,6,0,0,1,12,83,95
0.2,0.1667,0.32,0.4478,1,1,15,6,0,0,1,5,69,74
0.18,0.1364,0.29,0.4478,1,1,16,6,0,0,1,8,68,76
0.16,0.1212,0.37,0.5522,1,1,17,6,0,0,1,5,64,69
0.14,0.1212,0.39,0.2985,1,1,18,6,0,0,1,3,52,55
0.14,0.1212,0.36,0.2537,1,1,19,6,0,0,1,4,26,30
0.12,0.1212,0.36,0.2537,1,1,20,6,0,0,1,0,28,28
0.12,0.1061,0.39,0.3582,1,1,21,6,0,0,1,2,35,37
0.12,0.1061,0.36,0.3881,1,1,22,6,0,0,1,1,33,34
0.1,0.0606,0.39,0.4478,1,1,23,6,0,0,1,0,22,22
0.1,0.0758,0.42,0.3881,1,1,0,0,0,0,1,1,24,25
0.1,0.0606,0.42,0.4627,1,1,1,0,0,0,1,0,12,12
0.1,0.0606,0.46,0.4627,1,1,2,0,0,0,1,0,11,11
0.1,0.0758,0.46,0.4179,1,1,3,0,0,0,1,0,4,4
0.08,0.0909,0.53,0.194,1,1,4,0,0,0,1,0,1,1
0.08,0.0909,0.53,0.194,1,1,5,0,0,0,1,0,1,1
0.1,0.0909,0.49,0.2836,1,1,6,0,0,0,1,0,1,1
0.08,0.0909,0.53,0.194,1,1,7,0,0,0,1,1,5,6
0.1,0.0909,0.49,0.2836,1,1,8,0,0,0,1,0,10,10
0.12,0.0758,0.46,0.5224,1,1,9,0,0,0,1,0,19,19
0.14,0.1061,0.43,0.3881,1,1,10,0,0,0,1,0,49,49
0.16,0.1212,0.4,0.5224,1,1,11,0,0,0,1,2,47,49
0.18,0.1364,0.37,0.4478,1,1,12,0,0,0,1,4,79,83
0.2,0.1667,0.34,0.4478,1,1,13,0,0,0,1,6,69,75
0.22,0.1818,0.32,0.4627,1,1,14,0,0,0,1,8,64,72
0.22,0.197,0.35,0.3582,1,1,15,0,0,0,1,5,77,82
0.2,0.1667,0.34,0.4478,1,1,16,0,0,0,1,13,79,92
0.18,0.1515,0.37,0.3881,1,1,17,0,0,0,1,3,59,62
0.16,0.1364,0.4,0.3284,1,1,18,0,0,0,1,4,44,48
0.16,0.1364,0.43,0.3284,1,1,19,0,0,0,1,1,40,41
0.14,0.1212,0.46,0.2537,1,1,20,0,0,0,1,0,38,38
0.14,0.1061,0.46,0.4179,1,1,21,0,0,0,1,1,19,20
0.14,0.1212,0.46,0.2985,1,1,22,0,0,0,1,5,10,15
0.12,0.1364,0.5,0.194,1,1,23,0,0,0,1,0,6,6
0.12,0.1212,0.5,0.2836,1,1,0,1,0,1,1,2,3,5
0.12,0.1212,0.5,0.2836,1,1,1,1,0,1,1,1,0,1
0.12,0.1212,0.5,0.2239,1,1,2,1,0,1,1,0,3,3
0.12,0.1212,0.5,0.2239,1,1,3,1,0,1,1,0,1,1
0.1,0.1212,0.54,0.1343,1,1,4,1,0,1,1,1,2,3
0.1,0.1061,0.54,0.2537,1,1,5,1,0,1,1,0,3,3
0.12,0.1212,0.5,0.2836,1,1,6,1,0,1,1,0,31,31
0.12,0.1212,0.5,0.2239,1,1,7,1,0,1,1,2,75,77
0.12,0.1212,0.5,0.2836,1,1,8,1,0,1,2,4,184,188
0.14,0.1212,0.5,0.2537,1,1,9,1,0,1,2,2,92,94
0.14,0.1212,0.5,0.2985,1,1,10,1,0,1,2,0,31,31
0.16,0.1364,0.47,0.2836,1,1,11,1,0,1,2,2,28,30
0.2,0.1818,0.4,0.2836,1,1,12,1,0,1,2,5,47,52
0.2,0.1818,0.4,0.2836,1,1,13,1,0,1,2,4,50,54
0.2,0.197,0.4,0.2239,1,1,14,1,0,1,2,0,47,47
0.2,0.197,0.4,0.2239,1,1,15,1,0,1,2,2,43,45
0.2,0.2121,0.4,0.1343,1,1,16,1,0,1,1,4,70,74
0.2,0.2273,0.4,0.1045,1,1,17,1,0,1,1,4,174,178
0.2,0.197,0.4,0.2239,1,1,18,1,0,1,1,1,154,155
0.16,0.1667,0.47,0.1642,1,1,19,1,0,1,1,3,92,95
0.16,0.1667,0.5,0.1642,1,1,20,1,0,1,1,1,73,74
0.14,0.1364,0.59,0.194,1,1,21,1,0,1,1,1,37,38
0.14,0.1515,0.59,0.1642,1,1,22,1,0,1,1,2,22,24
0.14,0.1515,0.59,0.1642,1,1,23,1,0,1,1,0,18,18
0.14,0.1667,0.59,0.1045,1,1,0,2,0,1,1,2,10,12
0.14,0.1515,0.59,0.1642,1,1,1,2,0,1,1,0,3,3
0.16,0.1515,0.55,0.194,1,1,2,2,0,1,2,0,3,3
0.16,0.1818,0.55,0.1343,1,1,5,2,0,1,2,0,6,6
0.16,0.1818,0.55,0.1343,1,1,6,2,0,1,2,0,27,27
0.16,0.2273,0.55,0.0,1,1,7,2,0,1,2,2,97,99
0.18,0.2121,0.51,0.0896,1,1,8,2,0,1,2,3,214,217
0.18,0.197,0.51,0.1642,1,1,9,2,0,1,2,3,127,130
0.2,0.2121,0.51,0.1642,1,1,10,2,0,1,2,3,51,54
0.2,0.2121,0.47,0.1343,1,1,11,2,0,1,2,4,31,35
0.2,0.2273,0.51,0.1045,1,1,12,2,0,1,2,2,55,57
0.2,0.2273,0.59,0.0896,1,1,13,2,0,1,2,6,46,52
0.2,0.2273,0.59,0.0896,1,1,14,2,0,1,2,3,60,63
0.16,0.197,0.8,0.0896,1,1,15,2,0,1,2,2,45,47
0.16,0.1515,0.86,0.2239,1,1,16,2,0,1,2,4,72,76
0.16,0.1515,0.86,0.2239,1,1,17,2,0,1,2,6,130,136
0.16,0.1818,0.93,0.1045,1,1,18,2,0,1,3,1,94,95
0.16,0.2273,0.93,0.0,1,1,19,2,0,1,3,0,51,51
0.16,0.1515,0.93,0.194,1,1,20,2,0,1,3,0,32,32
0.16,0.197,0.86,0.0896,1,1,21,2,0,1,3,0,20,20
0.16,0.1818,0.93,0.1045,1,1,22,2,0,1,3,1,28,29
0.16,0.197,0.93,0.0896,1,1,23,2,0,1,3,1,18,19
0.16,0.197,0.86,0.0896,1,1,0,3,0,1,2,0,7,7
0.16,0.1818,0.86,0.1045,1,1,1,3,0,1,2,0,6,6
0.14,0.1515,0.86,0.1343,1,1,2,3,0,1,1,0,1,1
0.14,0.1515,0.86,0.1642,1,1,5,3,0,1,1,0,5,5
0.12,0.1515,0.93,0.1343,1,1,6,3,0,1,1,0,16,16
0.14,0.1515,0.69,0.1343,1,1,7,3,0,1,1,0,54,54
0.16,0.1667,0.59,0.1642,1,1,8,3,0,1,1,3,125,128
0.16,0.1364,0.59,0.3284,1,1,9,3,0,1,1,3,78,81
0.18,0.1818,0.55,0.2239,1,1,10,3,0,1,1,0,39,39
0.2,0.1818,0.51,0.3881,1,1,11,3,0,1,1,3,32,35
0.2,0.1515,0.47,0.5821,1,1,12,3,0,1,1,3,52,55
0.22,0.197,0.44,0.3582,1,1,13,3,0,1,1,0,49,49
0.2,0.1818,0.47,0.3284,1,1,14,3,0,1,1,0,44,44
0.2,0.1667,0.47,0.4179,1,1,15,3,0,1,1,1,48,49
0.22,0.197,0.44,0.3284,1,1,16,3,0,1,1,5,63,68
0.2,0.1818,0.47,0.3582,1,1,17,3,0,1,1,0,139,139
0.2,0.1515,0.47,0.5224,1,1,18,3,0,1,1,2,135,137
0.18,0.1515,0.47,0.4179,1,1,19,3,0,1,1,1,82,83
0.16,0.1364,0.5,0.3284,1,1,20,3,0,1,1,2,54,56
0.16,0.1364,0.55,0.3284,1,1,21,3,0,1,1,0,57,57
0.16,0.1212,0.55,0.4478,1,1,22,3,0,1,1,1,32,33
0.14,0.1061,0.59,0.4179,1,1,23,3,0,1,1,1,19,20
0.14,0.1212,0.59,0.2836,1,1,0,4,0,1,1,1,6,7
0.14,0.1212,0.5,0.2836,1,1,1,4,0,1,1,0,2,2
0.14,0.1212,0.5,0.3582,1,1,2,4,0,1,1,0,2,2
0.14,0.1212,0.5,0.3284,1,1,3,4,0,1,1,0,3,3
0.14,0.1212,0.5,0.2537,1,1,4,4,0,1,1,0,4,4
0.14,0.1212,0.5,0.2985,1,1,5,4,0,1,1,0,3,3
0.12,0.1515,0.54,0.1343,1,1,6,4,0,1,1,0,28,28
0.12,0.1515,0.54,0.1343,1,1,7,4,0,1,1,0,72,72
0.14,0.1364,0.5,0.194,1,1,8,4,0,1,1,5,197,202
0.14,0.1212,0.5,0.3284,1,1,9,4,0,1,1,2,137,139
0.16,0.1364,0.5,0.3582,1,1,10,4,0,1,2,2,36,38
0.2,0.1667,0.44,0.4478,1,1,11,4,0,1,2,4,33,37
0.2,0.1667,0.44,0.4179,1,1,12,4,0,1,1,3,49,52
0.22,0.197,0.41,0.4478,1,1,13,4,0,1,1,2,81,83
0.22,0.197,0.41,0.3881,1,1,14,4,0,1,1,3,39,42
0.24,0.2121,0.38,0.2985,1,1,15,4,0,1,1,5,55,60
0.24,0.2121,0.38,0.3582,1,1,16,4,0,1,1,2,76,78
0.2,0.1818,0.4,0.2836,1,1,17,4,0,1,1,4,158,162
0.2,0.1818,0.4,0.3284,1,1,18,4,0,1,1,3,141,144
0.16,0.1515,0.47,0.2537,1,1,19,4,0,1,1,1,98,99
0.16,0.1515,0.47,0.2239,1,1,20,4,0,1,1,0,64,64
0.14,0.1212,0.46,0.2985,1,1,21,4,0,1,1,0,40,40
0.14,0.1212,0.46,0.3284,1,1,22,4,0,1,1,0,30,30
0.12,0.1364,0.5,0.194,1,1,23,4,0,1,1,1,14,15
0.12,0.1364,0.5,0.194,1,1,0,5,0,1,1,0,14,14
0.1,0.1212,0.54,0.1642,1,1,1,5,0,1,1,0,5,5
0.1,0.1212,0.54,0.1343,1,1,2,5,0,1,1,0,1,1
0.1,0.1364,0.54,0.1045,1,1,3,5,0,1,1,0,1,1
0.1,0.1364,0.54,0.0896,1,1,5,5,0,1,1,0,8,8
0.1,0.1818,0.54,0.0,1,1,6,5,0,1,1,0,17,17
0.1,0.1212,0.74,0.1642,1,1,7,5,0,1,1,0,70,70
0.12,0.1667,0.68,0.0,1,1,8,5,0,1,1,2,156,158
0.14,0.1515,0.69,0.1343,1,1,9,5,0,1,1,0,117,117
0.18,0.1818,0.55,0.194,1,1,10,5,0,1,1,4,40,44
0.18,0.1667,0.51,0.2836,1,1,11,5,0,1,1,6,47,53
0.2,0.197,0.44,0.2537,1,1,12,5,0,1,1,2,59,61
0.22,0.197,0.37,0.3881,1,1,13,5,0,1,1,4,73,77
0.22,0.2121,0.41,0.2836,1,1,14,5,0,1,1,5,59,64
0.24,0.2424,0.38,0.1642,1,1,15,5,0,1,1,9,59,68
0.22,0.2424,0.41,0.1045,1,1,16,5,0,1,1,3,87,90
0.22,0.2273,0.41,0.1642,1,1,17,5,0,1,1,4,155,159
0.2,0.2576,0.47,0.0,1,1,18,5,0,1,1,5,134,139
0.16,0.197,0.59,0.0896,1,1,19,5,0,1,1,3,89,92
0.18,0.2424,0.59,0.0,1,1,20,5,0,1,1,0,68,68
0.16,0.2273,0.69,0.0,1,1,21,5,0,1,1,4,48,52
0.16,0.2273,0.69,0.0,1,1,22,5,0,1,2,2,34,36
0.18,0.2424,0.55,0.0,1,1,23,5,0,1,2,1,26,27
0.18,0.2424,0.55,0.0,1,1,0,6,0,0,1,3,25,28
0.16,0.197,0.59,0.0896,1,1,1,6,0,0,2,2,18,20
0.16,0.197,0.59,0.0896,1,1,2,6,0,0,2,0,12,12
0.16,0.2273,0.59,0.0,1,1,3,6,0,0,2,1,7,8
0.16,0.2273,0.59,0.0,1,1,4,6,0,0,2,0,5,5
0.16,0.2273,0.59,0.0,1,1,5,6,0,0,1,0,1,1
0.14,0.1667,0.63,0.1045,1,1,6,6,0,0,1,1,2,3
0.14,0.2121,0.63,0.0,1,1,7,6,0,0,1,1,9,10
0.14,0.1515,0.63,0.1343,1,1,8,6,0,0,1,1,22,23
0.16,0.1818,0.64,0.1343,1,1,9,6,0,0,1,2,31,33
0.18,0.197,0.59,0.1642,1,1,10,6,0,0,1,2,57,59
0.2,0.197,0.55,0.2239,1,1,11,6,0,0,1,18,54,72
0.24,0.2273,0.48,0.2239,1,1,12,6,0,0,1,15,74,89
0.28,0.2576,0.38,0.2985,1,1,13,6,0,0,1,21,80,101
0.3,0.2879,0.39,0.2836,1,1,14,6,0,0,1,26,92,118
0.32,0.3182,0.36,0.194,1,1,15,6,0,0,2,21,108,129
0.34,0.3333,0.34,0.194,1,1,16,6,0,0,2,33,95,128
0.32,0.303,0.36,0.2836,1,1,17,6,0,0,2,29,54,83
0.3,0.2879,0.45,0.2537,1,1,18,6,0,0,2,15,69,84
0.32,0.303,0.39,0.2537,1,1,19,6,0,0,2,14,60,74
0.32,0.303,0.39,0.2537,1,1,20,6,0,0,2,6,35,41
0.32,0.303,0.39,0.2239,1,1,21,6,0,0,2,6,51,57
0.3,0.3182,0.42,0.1045,1,1,22,6,0,0,2,0,26,26
0.3,0.2879,0.45,0.2836,1,1,23,6,0,0,1,5,39,44
0.26,0.303,0.56,0.0,1,1,0,0,0,0,1,6,33,39
0.26,0.2727,0.56,0.1343,1,1,1,0,0,0,1,4,19,23
0.26,0.2879,0.56,0.0896,1,1,2,0,0,0,1,3,13,16
0.22,0.2727,0.69,0.0,1,1,3,0,0,0,1,9,6,15
0.26,0.2576,0.56,0.1642,1,1,4,0,0,0,1,0,1,1
0.26,0.2576,0.56,0.1642,1,1,5,0,0,0,2,1,1,2
0.26,0.2576,0.56,0.1642,1,1,6,0,0,0,2,0,1,1
0.24,0.2121,0.56,0.2985,1,1,7,0,0,0,2,0,3,3
0.22,0.2121,0.55,0.2836,1,1,8,0,0,0,1,0,18,18
0.22,0.2121,0.51,0.2537,1,1,9,0,0,0,1,3,29,32
0.22,0.2121,0.51,0.2836,1,1,10,0,0,0,1,8,71,79
0.24,0.2273,0.44,0.2537,1,1,11,0,0,0,1,23,70,93
0.24,0.2121,0.41,0.2836,1,1,12,0,0,0,1,29,75,104
0.26,0.2273,0.35,0.2985,1,1,13,0,0,0,1,23,95,118
0.28,0.2727,0.36,0.2537,1,1,14,0,0,0,1,22,69,91
0.26,0.2424,0.38,0.2537,1,1,15,0,0,0,1,35,78,113
0.24,0.2273,0.38,0.2239,1,1,16,0,0,0,1,22,77,99
0.22,0.2121,0.37,0.2537,1,1,17,0,0,0,1,23,82,105
0.2,0.2121,0.4,0.1642,1,1,18,0,0,0,1,11,56,67
0.18,0.197,0.47,0.1343,1,1,19,0,0,0,1,14,47,61
0.18,0.197,0.47,0.1642,1,1,20,0,0,0,1,7,50,57
